token,valid_trajectory,finite_pose_count,ego_speed_mps,route_points_seen,route_roadblocks_seen,proposal_end_displacement_m,proposal_path_length_m,proposal_max_step_m,proposal_max_abs_curvature_proxy,mean_lateral_distance_to_route_m,max_lateral_distance_to_route_m,endpoint_distance_to_route_m,mean_heading_error_to_route_deg,max_heading_error_to_route_deg,forward_arc_progress_m,route_continuity_max_gap_m,actor_inputs_seen,logged_future_accessed,stock_score,twosided_score,fallback_score,high574_flag,visual_stratum,route_heading_change_0_60m_deg,input_boundary_verdict,error
0000548db87959c2,True,8,5.430793748398738,520,17,34.30653662970106,31.290240386971725,5.426344168267825,0.005163617442637915,5.73227128104445e-08,1.8318335471174963e-07,6.49058655485593e-08,0.008638907953026317,0.06910943056782841,31.290308832362875,0.7075599688140035,0,0,0.8571428571428571,1.0,1.0,0,,8.123518078590255,PASS,
00016f8b45c25a1d,True,8,5.562817822640337,717,32,29.58543179468737,31.631348168243463,5.476481321072418,0.08914987588315192,1.33864502869997e-07,5.39659600740781e-07,6.165964617110317e-08,0.2119669909081975,0.7583689920266213,31.699083124969825,1.1576906274764875,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,63.249559993784864,PASS,
0004474e9e3f5470,True,8,3.036784894394466,522,37,22.414328301225463,23.4219607003048,4.350248392967358,0.14796979618051484,2.323581954690227e-07,9.438461070531844e-07,9.438461070531844e-07,0.29853447028126046,1.5853770681976243,23.527464415383196,1.7604588106787429,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,1,,88.42039006481265,PASS,
000926dda92d592d,True,8,7.358539705432208,633,25,40.133791685186345,36.995084141144815,6.096956355576777,0.0010000022948096913,5.416574311104433e-09,1.1547854991048326e-08,1.1144000322519192e-08,0.0014733839506014383,0.009508360702114211,36.995087666219625,0.49280909700636355,0,0,0.8571428571428571,0.0,0.0,0,,0.47453562695080087,PASS,
000bf168dd5159af,True,8,7.943320419211445,561,32,41.87320382761448,38.59717867456277,6.273021978924947,0.020044402951510127,1.1309397987455524e-07,3.6201129239387813e-07,3.6201129239387813e-07,0.07925399347972939,0.27752858993473184,38.60073242393874,0.47642080740708315,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,11.06589209229246,PASS,
000d6961709c5904,True,8,7.3536423514540035,555,27,40.32803429100518,36.98125301646679,6.095429335675942,0.0034928451772950927,2.4844984403164548e-08,6.278160253253967e-08,6.278160253253967e-08,0.009090914893950535,0.03678425533623115,36.98137691553653,0.34635015804561653,0,0,0.0,0.0,0.0,0,,3.4222020623577727,PASS,
0012a35a78a151b5,True,8,8.828880588574238,472,29,44.024811658116164,40.90792346072711,6.5152551666471,1.4726270085780553e-09,1.1053095509383497e-07,2.515291514963277e-07,1.4088487463174086e-07,1.79294072656282e-07,3.626064135693594e-07,40.907923460727105,1.455659075746895,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,6.060295824584755,PASS,
00137a5ce92d591c,True,8,7.622766946609127,653,37,39.67982606430012,37.68860867058365,6.173941379869937,0.040615964595525446,1.735701016301738e-07,9.865602546936963e-07,9.865602546936963e-07,0.08974548477020604,0.2505004650288259,37.728399782618645,0.3723503311833748,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,43.43658004514834,PASS,
00185dab0ba153b9,True,8,1.560520757228107,531,34,18.895747088808413,18.474107848252782,3.7306396252739065,0.07725319635133762,4.761375228035275e-08,1.494981650843768e-07,7.524922467185815e-08,2.5098487857827854,9.485513662893815,18.507835568874377,2.963708489440319,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,101.95656433753707,PASS,
001b34b45b2f50e4,True,8,2.0148167732331626,1110,32,20.470163620454514,20.065015385952197,3.9575162892588085,0.0016773555550154307,4.510498801795745e-09,7.348713206925602e-09,2.1807325235291117e-09,0.004682441498156384,0.012636316895751488,20.065025266349476,0.5152947747918073,0,0,0.8571428571428571,0.0,0.0,1,,1.9702693357103707,PASS,
001d444661b45635,True,8,9.226757088658328,584,27,45.83895027850809,41.8907477543309,6.614488924314356,0.016147152454816224,7.52041887718006e-08,2.08513304462949e-07,7.176460791187411e-08,0.04233355639468597,0.20190942193925823,41.89361686596671,0.48832069432877173,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,14.93472723929509,PASS,
002672a228395a16,True,8,4.284010098425895,352,23,28.54882710385661,27.631561058046096,4.963493510745508,0.02762442027471146,1.2561889884927092e-07,3.430500847083495e-07,3.430500847083495e-07,0.1115335200671731,0.24127126233339496,27.646570323595384,0.393488181891194,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,85.97151505707058,PASS,
0027991369e05ab2,True,8,3.309078998582667,488,20,22.65489022273284,24.38981279258236,4.547717970655967,0.07858977623354955,1.4718121099237757e-07,3.853394288477609e-07,1.5488789111743715e-07,0.301055158804967,0.8563743489661704,24.438167151981784,0.33776245933732973,0,0,0.0,0.8571428571428571,0.8571428571428571,0,,86.5609830898578,PASS,
0027db600afe56ca,True,8,0.15675773576833987,674,22,13.505649499993336,13.650727175593397,3.0658735507333947,0.000999997515031295,2.012366067306219e-09,3.4860423395310942e-09,1.2516727447483907e-09,0.005145248646246116,0.012981758914626142,13.650728041772254,0.30518393358901064,0,0,0.0,0.8571428571428571,0.8571428571428571,0,,0.3543308858411948,PASS,
002a52b0ed5650da,True,8,8.359206689230332,500,25,43.154962236281655,39.70337811341875,6.390524180986212,0.0007296857199843611,6.526001716086551e-09,9.45663598945991e-09,7.392637497216862e-09,0.0011742435813378788,0.005314817218558878,39.70338850525799,0.6061991235803736,0,0,0.8571428571428571,0.0,0.0,0,,0.4325113663684793,PASS,
002e450c6cba5895,True,8,4.3438869411656,180,22,29.81819335874825,27.840601452575093,4.992335117375361,1.2782622459170398e-09,4.607567983321329e-09,1.3334938139858748e-08,1.3334938139858748e-08,9.300351544042295e-08,2.4213282901169785e-07,27.8406014525751,0.2836279119049934,0,0,0.0,0.0,0.0,0,,1.6951949946450695,PASS,
0033fc4b187a5f1f,True,8,7.254921851614794,785,23,39.95641875638692,36.704076324603236,6.0643892250826665,1.8044752481372437e-09,1.1292744646074963e-09,1.980637966011248e-09,9.311565214981288e-10,1.0498205687065722e-07,2.5676811321179606e-07,36.704076324603236,0.370536361978528,0,0,0.8571428571428571,0.0,0.0,0,,0.16065678744273434,PASS,
0038810163a05e09,True,8,1.219526710004294,440,22,17.644999274915914,17.332337501561913,3.579673998765834,0.024045616709747183,3.6002690222515838e-09,2.501122358001606e-08,2.501122358001606e-08,0.034181611643893314,0.26556204327431365,17.333442205155826,0.33478469033217034,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,62.908456036356036,PASS,
003a1fdca9505c09,True,8,10.629574735793627,651,4,49.56094184589237,45.10266212327414,6.919250338572473,0.011186215169972931,7.234730580946097e-08,2.8486948815462616e-07,5.7524304663186475e-08,0.030689765255965937,0.11479904142793293,45.10690834797327,0.4552783633245414,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,15.466562515789152,PASS,
003ead1914c051d7,True,8,10.235648772817045,878,26,48.86562791294389,44.24172094468155,6.840537804021003,0.01215088197484923,5.769889774148031e-08,2.0021230041550624e-07,7.777170499760738e-08,0.015345587006866555,0.062246847993659246,44.24634787640497,0.3206407440850039,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,12.750223625414234,PASS,
0045af58281456a0,True,8,2.52924759265546,885,18,22.262417218105835,21.789018568351224,4.1884868913182425,0.05143974856232106,1.5342254672080252e-07,5.31071293755309e-07,4.257399244647325e-07,0.8372745744836363,4.577991909396143,21.81587985254841,2.7271924729661037,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,79.52123212587088,PASS,
0057ce5b81c35a81,True,8,3.768653570030764,366,22,24.384285567036727,25.884362081423745,4.7271760880532,0.07414588282576529,1.4177650468375307e-07,2.973615953795401e-07,2.973615953795401e-07,0.6257656001238627,1.013908898364433,25.961520168277932,1.0186842104807476,0,0,0.8571428571428571,0.0,0.0,0,,105.29748536069238,PASS,
0059b8e52a3f55e8,True,8,4.624961470233306,564,20,30.529890994701667,28.746179797201847,5.108040973155348,0.0011957752283443819,3.924982120847342e-09,1.0368037520210394e-08,1.0368037520210394e-08,0.006839096593547807,0.016224772100797577,28.746197388000986,0.46997850163656585,0,0,0.8571428571428571,0.0,0.0,0,,2.5804050052330463,PASS,
005f87dd980253a5,True,8,1.284059048795767,547,26,17.012557343074985,17.518817117691082,3.598972796930298,0.08049205224476741,7.033545993520892e-08,3.3679686581779354e-07,9.493567594820446e-08,0.908206513257511,3.6285920305424932,17.55601805835623,1.419089023579412,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,91.121863549803,PASS,
005fcf3e9a125706,True,8,7.243430405565687,530,28,34.34248159653718,36.5875067192889,6.052065931449372,0.05100424884895017,3.1121476199643643e-07,7.564459130402481e-07,5.771132895688672e-07,0.24470584062285564,0.5193433525811941,36.671684266630756,0.5159091705392119,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,88.53214310979244,PASS,
00685a5276625b57,True,8,6.998908102593388,531,26,38.59086208737526,35.974953335586314,5.982175486148884,0.010801451154867673,1.1303161382618617e-07,4.501106228876084e-07,4.501106228876084e-07,0.04494991220961393,0.11563753539103153,35.97693628823408,0.5972267504216411,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,20.9238016427935,PASS,
006d30e1af265b1e,True,8,1.0572394868045718,504,37,16.684664748260154,16.772938213669708,3.502840239968001,0.011247913849125532,1.7216252384741914e-08,4.210706206086491e-08,1.0673817541901987e-08,0.06037442857982849,0.2872260806941637,16.77308555216082,0.73286568788545,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,68.89760240309292,PASS,
006e2728d7115fa7,True,8,2.582521249985367,538,21,22.80799305573128,21.996169387932845,4.2202448816988305,0.006605405564931332,2.5106771924996604e-09,7.036851578769784e-09,1.938708698620603e-09,0.0209532822241004,0.11534808501851147,21.99632763956616,0.42880645431019937,0,0,0.8571428571428571,0.0,0.0,0,,2.6247585649813163,PASS,
007845701f635565,True,8,8.093575886607804,506,36,42.19547414100368,39.00294436595463,6.316301134465039,0.0006490959276350481,5.4774852349171695e-08,1.3180791009277748e-07,1.2566887888018753e-07,0.0003005431754273266,0.002402661023617187,39.00295168054752,0.8067187284919173,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0,,6.260495307488409,PASS,
008144fe47ac5f74,True,8,3.1999924409765232,687,30,25.36278336837324,24.073991272025374,4.4992985388244175,0.0013326901056282241,1.5598257914796084e-09,3.053834145860217e-09,1.0981576907605474e-09,0.002791527151855697,0.010180810821373489,24.07400545549527,0.3440222292201805,0,0,0.8571428571428571,0.0,0.0,0,,15.583431315022672,PASS,
